Year_Birth;Education;Marital_Status;Income;Kidhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumStorePurchases;NumWebVisitsMonth;Complain;WebPurchases
1957;Graduation;Single;58138;0;58;635;88;546;172;88;88;4;7;0;1
1954;Graduation;Single;46344;1;38;11;1;6;2;1;6;2;5;0;0
1965;Graduation;Together;71613;0;26;426;49;127;111;21;42;10;4;0;1
1984;Graduation;Together;26646;1;26;11;4;20;10;3;5;4;6;0;0
1981;PhD;Married;58293;1;94;173;43;118;46;27;15;6;5;0;1
1967;Master;Together;62513;0;16;520;42;98;0;42;14;10;6;0;1
1971;Graduation;Divorced;55635;0;34;235;65;164;50;49;27;7;6;0;1
1985;PhD;Married;33454;1;32;76;10;56;3;1;23;4;8;0;1
1974;PhD;Together;30351;1;19;14;0;24;3;3;2;2;9;0;0
1950;PhD;Together;5648;1;68;28;0;6;1;1;13;0;20;0;0
1983;Graduation;Married;;1;11;5;5;6;0;2;1;2;7;0;0
1976;Basic;Married;7500;0;59;6;16;11;11;1;16;3;8;0;0
1959;Graduation;Divorced;63033;0;82;194;61;480;225;112;30;8;2;0;0
1952;Master;Divorced;59354;1;53;233;2;53;3;5;14;5;6;0;1
1987;Graduation;Married;17323;0;38;3;14;17;6;1;5;3;8;0;0
1946;PhD;Single;82800;0;23;1006;22;115;59;68;45;12;3;0;1
1980;Graduation;Married;41850;1;51;53;5;19;2;13;4;3;8;0;0
1946;Graduation;Together;37760;0;20;84;5;38;150;12;28;6;7;0;1
1949;Master;Married;76995;0;91;1012;80;498;0;16;176;9;5;0;1
1985;2n Cycle;Single;33812;1;86;4;17;19;30;24;39;3;6;0;0
1982;Graduation;Married;37040;0;41;86;2;73;69;38;48;5;8;0;1
1979;Graduation;Married;2447;1;42;1;1;1725;1;1;1;0;1;0;0
1949;PhD;Married;58607;0;63;867;0;86;0;0;19;9;8;0;0
1954;PhD;Married;65324;0;0;384;0;102;21;32;5;9;4;0;1
1951;Graduation;Together;40689;0;69;270;3;27;39;6;99;5;8;0;1
1969;Graduation;Single;18589;0;89;6;4;25;15;12;13;3;7;0;0
1976;Graduation;Married;53359;1;4;173;4;30;3;6;41;4;7;0;1
1986;Graduation;Single;;1;19;5;1;3;3;263;362;0;1;0;1
1989;Graduation;Married;38360;1;26;36;2;42;20;21;10;4;3;0;0
